word,freq,freq_sexist,freq_not_sexist,text_ids,example_text
🔫,2,0,2,['sexism2022_english-6604' 'sexism2022_english-1708'],[USER] maybe the 👭lesbians bc they want 2 b tough 💪and muslims think they go to hell 🔥if a lady a shoots them . They begin to shake with fear 😨😲at the sight of a woman w a gun 🔫
😅,2,0,2,['sexism2022_english-14539' 'sexism2022_english-697'],Oooh another one of these retards run along cuckgoblin. Oh wait lemme use a bunch of pointless emoji like a 13 year old girl so you understand me better!!! 😎🤣😅🙄🐸✌🤙👍👌💥
😵,2,0,2,['sexism2022_english-1708' 'sexism2022_english-13531'],😵💥🔫 Arrivederci 😒
🤪,2,0,2,['sexism2022_english-3290' 'sexism2022_english-10036'],Anthony Bourdain parts unknown Thailand episode was a fucking riot. Worh the couple bucks to DL the episode. He’s drunk off his ass in a ladyboy drag show bar and gets hit on by the Asian male equivalent of Rodney Dangerfield in drag 🤪.
🌐,2,2,0,['sexism2022_english-4804'],"HUH ))) 🔞 #NSFW 🌐#TeamSmut🌐 ((( you punk ass bitch whore, your Moms pussy signifies she enjoys being raped by niggers. WTF you talking about asshole. GO FIND A TRUMP RALLY YOU TRUMPNIGGER."
🥺,2,2,0,['sexism2022_english-19132'],May I borrow some pussy 🥺🥺
🙏🏻,2,0,2,['sexism2022_english-15539' 'sexism2022_english-12125'],I am so sorry about your mother! I will keep you and your family in my prayers! 🙏🏻🌹
🌹,2,0,2,['sexism2022_english-15539' 'sexism2022_english-6876'],I am so sorry about your mother! I will keep you and your family in my prayers! 🙏🏻🌹
🐵,1,1,0,['sexism2022_english-11872'],🐵 here’s a 🍌 banana bitch since you wanna act like a monkey
🍌,1,1,0,['sexism2022_english-11872'],🐵 here’s a 🍌 banana bitch since you wanna act like a monkey
🐕,1,0,1,['sexism2022_english-11598'],If you’re hooking up with the mother then out of respect I wouldn’t touch her family members personally but I’m not a 🐕
🤙,1,0,1,['sexism2022_english-14539'],Oooh another one of these retards run along cuckgoblin. Oh wait lemme use a bunch of pointless emoji like a 13 year old girl so you understand me better!!! 😎🤣😅🙄🐸✌🤙👍👌💥
💜,1,0,1,['sexism2022_english-2864'],"Hahahhahahahahahhhahahhahahahahahaa *takes deep breath* HAHAHAHHAHAHAHHAHAHAHECANTFUCKINGSERIOUSLYTHINKTHISWILLWORKHAHHAHAHAHAA Ahhh, wholesome 💜"
▶,1,0,1,['sexism2022_english-12942'],▶Anonymous 06/20/18 (Wed) 14:05:56 0f806a (15) No.1831793 =NEWS= World Cup reporter sexually assaulted during live broadcast www.foxnews.com/entertainment/2018/06/20/female-world-cup-reporter-sexually-assaulted-during-live-broadcast.html
🦊,1,0,1,['sexism2022_english-18723'],The meaning of Vixen is female fox. 🦊
👗,1,0,1,['sexism2022_english-4997'],"Ummm , your not woman, your a man in a woman's dress 👗!"
🐾,1,0,1,['sexism2022_english-4225'],"Australian Shepherd Q & A 🐾❓ Major Itchy Skin [URL] Please take a moment to Like, Comment, and Share because it really helps to get the word out to fellow Aussie Lovers. :) #australianshepherd #dogs"
💐,1,0,1,['sexism2022_english-1528'],"👍YES she needs to and she won't shy away form it , more power to her , i like her spunk !! 🌺💐🤗😘❤️️"
🤫,1,0,1,['sexism2022_english-12252'],Yeah well you wouldn’t have done anything with the op anyways.....ANYWAYS yes op calling out girls out works well especially like you said you got nothing to lose. Same to being bold with approaching because we have nothing to lose...🤫
🇮🇱,1,0,1,['sexism2022_english-5555'],"Pray Always🇺🇸🇮🇱‏ [USER] Or we’ll rape your women and children? Migrant Urges Germans, Austrians To Give Refugees ""Their Homes and Money"" | Zero Hedge [URL] …"
🐀,1,0,1,['sexism2022_english-19793'],"I remember when Phillip Roth got rave reviews from NYT et al. for that disgusting novel. The article notes that HW chose non-Jew females for sex, but had the Jewish female simply observe him ejaculating into potted plants. It is rather hilarious 🐀"
💎,1,0,1,['sexism2022_english-13507'],agreed! that is beautiful 😍 and a girl's gotta have the right shoes for the Sparkle Lounge 🤗✨💕💎
💕,1,0,1,['sexism2022_english-13507'],agreed! that is beautiful 😍 and a girl's gotta have the right shoes for the Sparkle Lounge 🤗✨💕💎
☺,1,0,1,['sexism2022_english-17072'],"I will check her out, thank you! ☺️"
🍀,1,0,1,['sexism2022_english-6876'],Wishing You Super Tuesday Cookie 🙏 ✨🌺🌹🍀💖 🏼 [USER]
💫,1,0,1,['sexism2022_english-32'],"yes ✨💫 Her spirit, energy, positivity has had a big impact on me. #ViciTrue and her family will always be in our hearts. thank u again for all that you've done 🌸 [URL]"
🌸,1,0,1,['sexism2022_english-32'],"yes ✨💫 Her spirit, energy, positivity has had a big impact on me. #ViciTrue and her family will always be in our hearts. thank u again for all that you've done 🌸 [URL]"
✌,1,0,1,['sexism2022_english-14539'],Oooh another one of these retards run along cuckgoblin. Oh wait lemme use a bunch of pointless emoji like a 13 year old girl so you understand me better!!! 😎🤣😅🙄🐸✌🤙👍👌💥
🇫🇷,1,0,1,['sexism2022_english-7297'],"“Self-Portrait with Daughter Jeanne-Lucie” (1786) Élisabeth Louise Vigée Le Brun (French, 1755 – 1842) 🇫🇷"
🔚,1,0,1,['sexism2022_english-17724'],"Now Ford’s lifelong friend, classmate and female, Leland Ingram Keyser denies it ever happened: see the Weekly Standard article. 🔚"
☂,1,1,0,['sexism2022_english-16084'],"Thank you, Fedra, but I'm not the only one who might suffer this bitch Flossie 🌩🌦☂ Pray she makes a hard right out into the ocean...in the meantime, get your waders out, kids. [USER] [USER] [USER] [USER] [USER] [USER]"
✌🏻,1,1,0,['sexism2022_english-18239'],she’s a stupid cunt women kill men men kill women ✌🏻
💀,1,1,0,['sexism2022_english-10881'],Not our fault she chose to date an abusive scumbag. 💀
😫,1,1,0,['sexism2022_english-11814'],Or be way to pussy to ask any girl for a date 😫.
👨,1,1,0,['sexism2022_english-315'],Can we get a black woman to name their child Bigon Thot👨🍹
🍹,1,1,0,['sexism2022_english-315'],Can we get a black woman to name their child Bigon Thot👨🍹
🔞,1,1,0,['sexism2022_english-4804'],"HUH ))) 🔞 #NSFW 🌐#TeamSmut🌐 ((( you punk ass bitch whore, your Moms pussy signifies she enjoys being raped by niggers. WTF you talking about asshole. GO FIND A TRUMP RALLY YOU TRUMPNIGGER."
🌦,1,1,0,['sexism2022_english-16084'],"Thank you, Fedra, but I'm not the only one who might suffer this bitch Flossie 🌩🌦☂ Pray she makes a hard right out into the ocean...in the meantime, get your waders out, kids. [USER] [USER] [USER] [USER] [USER] [USER]"
🌩,1,1,0,['sexism2022_english-16084'],"Thank you, Fedra, but I'm not the only one who might suffer this bitch Flossie 🌩🌦☂ Pray she makes a hard right out into the ocean...in the meantime, get your waders out, kids. [USER] [USER] [USER] [USER] [USER] [USER]"
🐈,1,0,1,['sexism2022_english-2248'],VERY different curve to her Teeth Line & eyebrow Very Curved 🐈 🧠 Hat FLAT AS HECK pic above! WHAT THE FUCK IS GOING ON PEOPLE?
🤛🏼,1,1,0,['sexism2022_english-8777'],Bitch waited for her Christmas gifts first 🤛🏼 you gon die
👎,1,0,1,['sexism2022_english-5761'],Shebby Dasserman Wultz 👎🤮
💘,1,0,1,['sexism2022_english-2343'],"Dear leftist homos: We're not going anywhere. Kisses and such, Nate Talmadge 💘 P.S.-Go wash my Benz when you stop crying."
👎🏿,1,0,1,['sexism2022_english-6095'],Ever noticed the most successful human experiment “Capitalism” is under assault from islam and communism? Now floods of invaders like the EU has been. 👎🏿
🐷,1,0,1,['sexism2022_english-15572'],I always add a little 🐷 to my meatballs. Keeps Shlomo’s shekel clutchers off them.
🌍,1,0,1,['sexism2022_english-4275'],You also have the cucked men who allow their wives to sign up. Something about making their sex life alive and interesting. 🌍🤡
👭,1,0,1,['sexism2022_english-6604'],[USER] maybe the 👭lesbians bc they want 2 b tough 💪and muslims think they go to hell 🔥if a lady a shoots them . They begin to shake with fear 😨😲at the sight of a woman w a gun 🔫
💗,1,0,1,['sexism2022_english-19834'],Step away to vacuum and get hit with a bunch of notifications. You lot know how to cheer a person up after house work. 😆 💗
😶,1,0,1,['sexism2022_english-14984'],Hey... ya know that movie franchise KICK-ASS? Well...there's a new one coming out. Same costume but... ...the white kid has been replaced by a black woman. 😶 #diversity
🖕🏻,1,0,1,['sexism2022_english-9196'],Delusional hobo shows how delusional he is once more. Capture all little girls? I can’t wait to have a little girl and teach her how to shoot pedo incels such as yourself. 🖕🏻
🔴,1,0,1,['sexism2022_english-14583'],🔴📢👀Middle East Update A Missel guided Bunker Buster hit Iranian Target in Syria! No one claiming the Strike! [URL]
👉🏽,1,0,1,['sexism2022_english-5601'],"Before the #HillaryEmails exposed her treasonous #PayForPlay, there were plenty of reasons to arrest #Hillary. Read👉🏽 [URL] #MAGA #Trump #DrainTheSwamp #SpiritCooking #Tcot #CrookedHillary #Vote"
🇲🇽,1,0,1,['sexism2022_english-10693'],Ew. good thing she's gone then. Did u Report her to President Trump yet? Nevermind ill do it. 🇺🇸🖕🇲🇽
😢,1,0,1,['sexism2022_english-12125'],My 90 year old client is having out patient surgery on her heart for possible tumor. Asking for prayers for her please 😢🙏🏻 Nickname is Corky. Thank you.
💙,1,0,1,['sexism2022_english-12320'],🤤💙 #want That's a gorgeous truck ma'am.
💒,1,0,1,['sexism2022_english-8518'],[USER] WOO FUCK YEAH #GabWedding! 💒 Can we make it #TheDeplorables theme prease?! [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [URL]
®,1,0,1,['sexism2022_english-16579'],"That means federal laws requiring states to give gay marriage licenses, let abortion providers operate, ®ulations allowing boys in girls' bathrooms &locker rooms can also be ignored. [URL] #TCOG #MAGA #GOP #Conservatives #Christians"
🍇,1,0,1,['sexism2022_english-11897'],#AltRight Rember this guy? Chronic sender of dick pics to underage girls? I member 🍇 [URL]
🥰,1,0,1,['sexism2022_english-2655'],"my wife got me some snackies to nibble on while the bull fucks her senseless in the other room 🥰 silly inkwell, why would i be jealous? i play switch with him all the time!"
👆,1,0,1,['sexism2022_english-9726'],Now this is a woman who gets it. 👆
👀,1,0,1,['sexism2022_english-14583'],🔴📢👀Middle East Update A Missel guided Bunker Buster hit Iranian Target in Syria! No one claiming the Strike! [URL]
📢,1,0,1,['sexism2022_english-14583'],🔴📢👀Middle East Update A Missel guided Bunker Buster hit Iranian Target in Syria! No one claiming the Strike! [URL]
🍷,1,0,1,['sexism2022_english-1043'],Be nice and she might invite you over...bring wine.🍷
⚖,1,0,1,['sexism2022_english-13863'],Hey So glad to hear from you. I will try and figure this GABBING THING OUT⚖️🇺🇸🤗😘
💔,1,0,1,['sexism2022_english-10757'],"Dolores O’Riordan, the iconic lead singer of The Cranberries, today sadly passed away at just 46. A driving force behind 90's alt-music, she inspired an entire generation and will forever remain in the hearts of so many. 💔"
😋,1,0,1,['sexism2022_english-3135'],"[USER] well, as there's no #finance tag.. I would leave it open.. if not, I'd pick #lifestyle...> Money makes the world go round, so? 😀 Btw: we prefer #Brzz instead of BruXeLles 😋"
🦇,1,0,1,['sexism2022_english-11789'],Incredible photo of a mother bat flying with her baby. 🦇
😛,1,0,1,['sexism2022_english-15984'],"[USER] Oh that's why they had to use celebrities. No way they could find such an innocent little girl in Hollywood these days. 😛 Nice find and a big TY for the share. Never seen it before and it's some hard core advertising, especially for the time."
🤓,1,0,1,['sexism2022_english-6497'],Just wait till your 30 bro xD she’ll come along eventually 🤓
🍺,1,0,1,['sexism2022_english-19524'],The guy needs a medal🥇and a beer🍺 This man is a #Hero👊 #Beers🍻 for life! This is a man all daughters need as a 💪father. [URL]
👿,1,0,1,['sexism2022_english-11103'],"1 white guy with an ar15 shoots 20 ppl, and the media is frantic, but a muz can kill 20 ppl in Europe, and it's not terrorism. 🙊🙉🙈👿🤔 #Trump #News #CuckVille"
🥇,1,0,1,['sexism2022_english-19524'],The guy needs a medal🥇and a beer🍺 This man is a #Hero👊 #Beers🍻 for life! This is a man all daughters need as a 💪father. [URL]
🌵,1,0,1,['sexism2022_english-12917'],Hopefuli thoze bugz dizolv her totali👌🌵
📕,1,0,1,['sexism2022_english-11189'],Judy is such a trip. i could write books about her i swear 😂📕 hey girl! 🐱👑 we all knw ur the Queen but try and be nice to ur adoring fans 💖 [USER]
🦂,1,0,1,['sexism2022_english-2857'],Wow 😮Amazing Scorpion 🦂 with all her babies 💞
💞,1,0,1,['sexism2022_english-2857'],Wow 😮Amazing Scorpion 🦂 with all her babies 💞
🇩🇪,1,0,1,['sexism2022_english-3520'],Meet the Lesbian Goldman Sachs Economist Who Just Lead Germany’s🇩🇪 Far Right to Victory #AfD [URL]
✡,1,0,1,['sexism2022_english-2513'],Or if they're a sodomite and/or ✡️. They can go to hell.
🐱,1,0,1,['sexism2022_english-11189'],Judy is such a trip. i could write books about her i swear 😂📕 hey girl! 🐱👑 we all knw ur the Queen but try and be nice to ur adoring fans 💖 [USER]
🤷🏻‍♀,1,0,1,['sexism2022_english-12376'],Taylor looks white to me. Maybe she could follow in Kate Spade’s shoes and show us how it’s done 😈🤷🏻‍♀️
🏵,1,0,1,['sexism2022_english-15421'],You always post the most beautiful flowers. I'm a sucker for pretty flowers and pretty girls!!! 😱🏵
😦,1,0,1,['sexism2022_english-149'],Whatever. You are cuck like all pathetic numales are now these days. I bet you enjoy watching your girlfriend getting fucked by a pack of niggers while you jerk off to it. Ewwwwwww 😦
🤷‍♀,1,0,1,['sexism2022_english-5123'],Men should still continue to support on their one income then 🤷‍♀️ since y’all built everything. Why stop now?
🤯,1,0,1,['sexism2022_english-283'],A nigger loving White Woman on the Supreme Court . Exactly what I voted for 😳😡🤬🤯
✅,1,0,1,['sexism2022_english-19342'],"Reality ✅..if Hillary had won, we'd be in deep shit right now..A true police state. #Antifa would be her military..❗❗❗"
😩,1,0,1,['sexism2022_english-6363'],*GASP* You think she’ll wanna go on a date with me?!?!?😧😍😩
😧,1,0,1,['sexism2022_english-6363'],*GASP* You think she’ll wanna go on a date with me?!?!?😧😍😩
🤦,1,0,1,['sexism2022_english-2809'],cuck degenerate 🤦...and he learned nothing this day.
